n,px,py,k,i,runtime,gflops,Linf,L2
800,1,1,Y,20000,10.670000,33.590000,0.983168,0.752418
800,1,1,N,20000,11.560000,31.010000,0.983168,0.752418
800,1,2,Y,20000,28.400000,12.620000,0.983168,0.752418
800,1,2,N,20000,28.490000,12.580000,0.000000,0.000000
800,1,4,Y,20000,2.949000,121.500000,0.983168,0.752418
800,1,4,N,20000,3.359000,106.700000,0.000000,0.000000
800,2,2,Y,20000,3.849000,93.120000,0.983168,0.752412
800,2,2,N,20000,3.368000,106.400000,0.000000,-nan
800,4,1,Y,20000,4.282000,83.690000,0.983169,0.752418
800,4,1,N,20000,3.377000,106.100000,0.000000,-nan
800,1,8,Y,20000,1.352000,265.100000,0.983168,0.752418
800,1,8,N,20000,1.281000,279.700000,0.000000,-nan
800,2,4,Y,20000,1.631000,219.800000,0.983168,0.752407
800,2,4,N,20000,1.504000,238.200000,0.000000,0.000000
800,4,2,Y,20000,1.623000,220.800000,0.983170,0.752400
800,4,2,N,20000,1.457000,246.000000,0.000000,-nan
800,8,1,Y,20000,1.572000,228.000000,0.983169,0.752417
800,8,1,N,20000,1.811000,197.900000,0.000000,-nan
800,1,16,Y,20000,0.752500,476.300000,0.983168,0.752418
800,1,16,N,20000,0.679900,527.100000,0.000000,-nan
800,2,8,Y,20000,1.005000,356.500000,0.983175,0.752256
800,2,8,N,20000,0.852000,420.700000,0.000000,-nan
800,4,4,Y,20000,1.010000,354.900000,0.983170,0.752398
800,4,4,N,20000,0.791800,452.600000,0.000000,-nan
800,8,2,Y,20000,0.988400,362.600000,0.983170,0.752405
800,8,2,N,20000,0.860200,416.600000,0.000000,-nan
800,16,1,Y,20000,1.018000,352.100000,0.983175,0.752416
800,16,1,N,20000,0.796200,450.100000,0.000000,-nan
,,,,,,,,
